trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
129,False,"{'a': 0.99, 'e': 0.02403701700618953}",25,13,21.677166488505264,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.99, 'e': 0.023668639053254437}",20,8,-2.0891259494006307,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.99, 'e': 0.023308664996212335}",20,0,32.36621646354789,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.99, 'e': 0.022956841138659315}",20,0,30.85696931485534,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.99, 'e': 0.02261292328565775}",30,18,0.6379457507149946,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.99, 'e': 0.022276676319893073}",20,13,2.1281119123631713,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.99, 'e': 0.02194787379972565}",20,14,12.252146471878927,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.99, 'e': 0.021626297577854666}",20,4,30.25010174938504,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.99, 'e': 0.021311737439394744}",20,11,11.481366345833692,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.99, 'e': 0.021003990758244065}",25,8,24.79109143625395,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.99, 'e': 0.0207028621706951}",20,13,14.593989092102355,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.99, 'e': 0.02040816326530612}",30,0,0.4834531946989564,"{0: 27, 1: 1, 2: 0, 3: 2, 4: 0}",0
141,False,"{'a': 0.99, 'e': 0.020119712288114277}",25,0,34.38102950957654,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
142,False,"{'a': 0.99, 'e': 0.019837333862328898}",20,0,31.0309361738473,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.99, 'e': 0.019560858721697882}",25,15,7.150086472853434,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.99, 'e': 0.019290123456790122}",20,9,19.356287074533192,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.99, 'e': 0.019024970273483946}",30,10,-9.037520655566183,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.99, 'e': 0.018765246762994927}",30,3,32.814745057624044,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.99, 'e': 0.018510805682817343}",30,10,24.172118804728903,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.99, 'e': 0.018261504747991233}",20,0,25.266625381453615,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.99, 'e': 0.018017206432142694}",25,5,32.346082817797296,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.99, 'e': 0.017777777777777778}",20,10,19.332058323217446,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.99, 'e': 0.01754309021534143}",25,10,21.941025823999965,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.99, 'e': 0.017313019390581715}",20,0,30.537114916189594,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.99, 'e': 0.017087444999786403}",20,8,8.033791244828237,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.99, 'e': 0.016866250632484397}",25,10,26.028538207296847,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.99, 'e': 0.01664932362122789}",35,28,10.797966543407805,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.99, 'e': 0.016436554898093356}",20,5,28.138010260319945,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.99, 'e': 0.016227838857560142}",20,6,-27.275908436361796,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.99, 'e': 0.01602307322544464}",25,18,14.023314737624615,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.99, 'e': 0.01582215893358649}",25,12,24.437993860444166,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.99, 'e': 0.015625}",30,15,26.33120563639887,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.99, 'e': 0.015431503414220128}",25,0,36.34242265134532,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.99, 'e': 0.015241579027587259}",25,7,-9.997957054153959,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
163,False,"{'a': 0.99, 'e': 0.01505513944822914}",30,20,20.197875926913355,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.99, 'e': 0.014872099940511595}",20,6,26.465085031000395,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.99, 'e': 0.014692378328741965}",20,6,27.410949398678785,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.99, 'e': 0.014515894904920884}",20,0,35.627646226225856,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.99, 'e': 0.014342572340349243}",25,10,26.71109757821379,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.99, 'e': 0.014172335600907028}",20,14,1.880440335577835,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.99, 'e': 0.014005111865831026}",35,18,22.49114933673493,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.99, 'e': 0.01384083044982699}",25,13,21.647234220043366,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
